0	0	0.979428	0.00109878	0.019325	0.978649	8.55638e-05	0.0212652	0.0453411	0.846436	0.10496	0.0453411	0.846436	0.10496	0.153846	0.0124422	0.82758	0.141017	0.0262266	0.832757
0	1	0.973455	0.00228213	0.0242629	0.968207	0.00190216	0.0298913	0.0186669	0.941829	0.039256	0.0186669	0.941829	0.039256	0.105322	0.050426	0.840037	0.0959125	0.0471028	0.851505
1	0	0.97985	0.00101129	0.0189037	0.977821	0.00109588	0.0207735	0.0301086	0.916663	0.0477289	0.0301086	0.916663	0.0477289	0.186126	0.0322697	0.775696	0.153896	0.0282015	0.814931
1	1	0.973445	0.00450564	0.0220495	0.975068	0.00448936	0.0201277	0.00043638	0.973696	0.0255462	0.00043638	0.973696	0.0255462	0.0826308	0.0407861	0.874549	0.0698372	0.047916	0.878647
2	0	0.980916	0.00225171	0.0166724	0.982847	0.00199665	0.0147213	0.0441174	0.919929	0.0340181	0.0441174	0.919929	0.0340181	0.15185	0.0608525	0.783601	0.171502	0.0412818	0.781283
2	1	0.971469	0.00238674	0.025677	0.973983	0.00280043	0.0220902	0.0336389	0.935367	0.0304903	0.0336389	0.935367	0.0304903	0.0774817	0.0651565	0.847472	0.079076	0.0372085	0.88265
3	0	0.984817	0.00126912	0.0134829	0.984685	0.00177254	0.0132159	0.0154058	0.973198	0.00975	0.0154058	0.973198	0.00975	0.167275	0.054701	0.766476	0.142543	0.0575667	0.793402
3	1	0.97153	0.00227088	0.0252818	0.967926	0.00582886	0.0253339	0.0194514	0.931891	0.0486572	0.0194514	0.931891	0.0486572	0.0589106	0.0650301	0.876059	0.0852591	0.0708	0.841855
4	0	0.986093	0.00150283	0.011909	0.98341	0.00179773	0.0145452	0.0278138	0.951676	0.0167965	0.0278138	0.951676	0.0167965	0.113379	0.0396216	0.837076	0.102701	0.0364009	0.853416
4	1	0.977339	0.00231661	0.0191771	0.978073	0.00182335	0.0175215	0.0210213	0.927125	0.051854	0.0210213	0.927125	0.051854	0.0458484	0.0111295	0.939756	0.0456566	0.0550287	0.891993
5	0	0.984965	0.00297925	0.00574589	0.985222	0.00319979	0.00669828	0.00599718	0.971696	0.0122549	0.00599718	0.971696	0.0122549	0.068739	0.0213454	0.892807	0.0479105	0.0201394	0.918885
5	1	0.968511	0.00762326	0.0155854	0.99159	0.0021654	0.00498009	4.793e-08	0.991187	1.58313e-06	4.793e-08	0.991187	1.58313e-06	0.0447293	0.0138366	0.927589	0.0357047	0.0153192	0.930636
6	0	0.98115	0.00571142	0.00703757	0.984513	0.00439272	0.00357322	0.0309512	0.946297	0.0124902	0.0309512	0.946297	0.0124902	0.0332882	0.0100498	0.938498	0.0505902	0.0119623	0.924017
6	1	0.992267	1.52478e-12	1.33572e-08	0.992308	1.5916e-09	0.00352222	0.0229668	0.964901	0.0121326	0.0229668	0.964901	0.0121326	0.00697637	5.08697e-13	0.952622	0.0208185	0.0104013	0.958355
7	0	0.983763	0.00384502	0.00417728	0.982662	0.00334788	0.00701435	0.0200473	0.937296	0.0197038	0.0200473	0.937296	0.0197038	0.0308448	0.00651074	0.952354	0.0214773	0.0115727	0.95815
7	1	0.990994	0.00448322	1.61576e-06	0.969531	0.015178	0.0152908	0.0387099	0.937433	2.16111e-07	0.0387099	0.937433	2.16111e-07	0.0105552	5.38627e-12	0.989445	0.0207637	0.0303336	0.948903
8	0	0.976463	0.00703616	0.00387385	0.973797	0.00589953	0.00516351	0.0439808	0.902293	0.0113771	0.0439808	0.902293	0.0113771	0.0103178	0.012667	0.956318	0.0229301	0.00250459	0.96177
8	1	0.943486	0.014145	0.0351707	0.969406	0.0151128	3.40992e-05	2.61543e-07	0.942501	1.40949e-08	2.61543e-07	0.942501	1.40949e-08	0.0141643	0.0284775	0.957357	0.0187951	0.0166267	0.930308
9	0	0.956705	0.00920209	0.00274908	0.958016	0.00890156	0.00479009	0.0636911	0.798205	0.00333272	0.0636911	0.798205	0.00333272	0.00331034	0.0139842	0.959654	1.14622e-05	0.0192536	0.96682
9	1	0.908146	0.0609838	0.0308707	1	6.87306e-10	1.6295e-11	0.0516851	0.59616	0.176415	0.0516851	0.59616	0.176415	0.0666221	0	0.933378	0.0476817	9.36105e-08	0.952318
