0	0	6.46625e-08	2.37031e-10	6.70045e-06	-3.78265e-11	5.78826e-08	7.01175e-11	7.466e-08	1.20184e-10	7.05601e-06	-1.85838e-11	6.92028e-08	5.32653e-11	1.5499e-05	1.23665e-05	0.00023884	4.03647e-06	-5.64707e-06	4.08927e-06	1.5499e-05	1.23665e-05	0.00023884	4.03647e-06	-5.64707e-06	4.08927e-06	0.00103232	8.96411e-05	0.000124626	5.488e-06	7.47792e-05	5.50365e-06	0.000629055	0.000103142	8.21387e-05	-8.47268e-06	5.47426e-05	8.56412e-06
0	1	1.39611e-07	8.17492e-10	1.10943e-05	-1.5045e-10	1.24971e-07	2.77376e-10	1.98428e-07	8.99654e-10	1.3199e-05	2.95024e-11	-1.87646e-07	-1.83356e-10	2.62576e-06	2.85629e-06	0.000360064	-8.0335e-07	1.75983e-06	1.87719e-06	2.62576e-06	2.85629e-06	0.000360064	-8.0335e-07	1.75983e-06	1.87719e-06	0.000638412	0.000283118	0.000104822	-1.63919e-05	5.2571e-05	2.32729e-05	0.000348698	0.000157857	5.59348e-05	-7.93515e-06	2.69223e-05	1.20001e-05
1	0	3.32882e-08	1.09424e-10	3.34466e-06	-1.48612e-11	2.89358e-08	3.84099e-11	3.95753e-08	1.40141e-10	3.78896e-06	-1.75287e-11	-3.50075e-08	-4.10576e-11	1.4021e-06	1.32165e-06	9.12492e-05	-4.19222e-07	7.79965e-07	7.09852e-07	1.4021e-06	1.32165e-06	9.12492e-05	-4.19222e-07	7.79965e-07	7.09852e-07	0.000329951	6.25535e-05	7.28554e-05	5.87624e-06	3.96909e-05	-6.78102e-06	0.00024235	3.82773e-05	3.50025e-05	-1.73116e-06	1.65299e-05	3.1694e-06
1	1	8.61361e-08	7.63484e-10	7.24332e-06	-2.72615e-10	7.21249e-08	3.10688e-10	7.30857e-08	6.56057e-10	7.63265e-06	2.66664e-10	6.96858e-08	-3.27851e-10	2.39407e-09	7.33345e-07	0.000209579	-9.09367e-09	2.78437e-08	9.55346e-07	2.39407e-09	7.33345e-07	0.000209579	-9.09367e-09	2.78437e-08	9.55346e-07	0.000308867	0.000142121	3.37037e-05	3.20159e-06	-1.68543e-05	7.85798e-06	0.00013865	8.53087e-05	1.84345e-05	-3.25041e-06	7.98129e-06	5.26685e-06
2	0	2.82655e-08	1.80256e-10	3.78944e-06	-5.07777e-11	2.79272e-08	6.44176e-11	2.2451e-08	1.36204e-10	3.71846e-06	-5.08805e-12	2.31053e-08	7.39036e-13	6.91713e-07	6.43478e-07	7.85337e-05	-2.14699e-07	4.10419e-07	3.75545e-07	6.91713e-07	6.43478e-07	7.85337e-05	-2.14699e-07	4.10419e-07	3.75545e-07	0.000264765	9.62935e-05	5.75699e-05	8.47717e-06	-2.95991e-05	1.0153e-05	0.000183148	4.68579e-05	3.96055e-05	3.90753e-06	2.09206e-05	-4.95804e-06
2	1	1.87454e-07	1.08562e-09	1.38064e-05	-3.3767e-10	1.64903e-07	4.1693e-10	1.36941e-07	9.23996e-10	1.36359e-05	-2.66736e-10	1.44595e-07	4.71637e-10	9.17437e-07	2.3333e-06	0.000288459	-2.57489e-07	3.57789e-07	-1.77505e-06	9.17437e-07	2.3333e-06	0.000288459	-2.57489e-07	3.57789e-07	-1.77505e-06	0.000419845	0.000219965	6.23097e-05	1.12947e-05	8.458e-06	-1.75051e-05	0.000176912	7.73546e-05	1.921e-05	-3.32387e-06	1.06778e-05	4.61017e-06
3	0	2.29951e-08	8.45858e-11	3.95062e-06	-9.54812e-12	2.34201e-08	2.55516e-11	2.2297e-08	1.13778e-10	4.37384e-06	-1.88291e-11	2.53923e-08	3.89159e-11	4.85052e-08	6.1604e-08	8.45712e-05	-1.67606e-08	9.56978e-08	1.32639e-07	4.85052e-08	6.1604e-08	8.45712e-05	-1.67606e-08	9.56978e-08	1.32639e-07	0.00031212	9.0119e-05	7.51932e-05	-7.65087e-06	3.55016e-05	9.88539e-06	0.000181639	6.3124e-05	3.9012e-05	-5.09915e-06	1.72744e-05	6.50332e-06
3	1	3.31217e-07	2.67519e-09	3.15575e-05	-2.72582e-10	3.70295e-07	6.96643e-10	3.20172e-07	3.174e-09	2.55664e-05	-1.31341e-09	3.069e-07	1.75564e-09	4.22223e-06	6.37557e-06	0.000498725	-1.48919e-06	2.92336e-06	5.15672e-06	4.22223e-06	6.37557e-06	0.000498725	-1.48919e-06	2.92336e-06	5.15672e-06	0.000334397	0.000321696	5.59252e-05	-1.0106e-05	1.4461e-05	2.05056e-05	0.000435561	0.000196942	5.79253e-05	-8.47209e-06	6.11255e-06	-1.57147e-05
4	0	1.56004e-08	7.34528e-11	3.30763e-06	1.44557e-11	1.80866e-08	-3.23966e-11	2.32214e-08	1.40085e-10	4.08996e-06	-3.0595e-11	2.62495e-08	5.09688e-11	7.84121e-08	1.21037e-07	5.63112e-05	-2.81006e-08	9.76163e-08	1.79648e-07	7.84121e-08	1.21037e-07	5.63112e-05	-2.81006e-08	9.76163e-08	1.79648e-07	0.00019082	6.34565e-05	2.71416e-05	-3.53954e-06	-1.54262e-05	-4.58712e-06	0.000129268	3.57482e-05	1.53878e-05	2.32915e-06	9.35128e-06	-2.58459e-06
4	1	2.40448e-07	9.26442e-10	3.52612e-05	-4.54598e-10	3.01659e-07	7.50883e-10	2.292e-07	1.14235e-09	3.4916e-05	-1.80182e-10	2.54097e-07	2.24114e-10	4.44901e-06	3.92846e-05	0.000605685	-4.53179e-06	1.14315e-06	1.48274e-05	4.44901e-06	3.92846e-05	0.000605685	-4.53179e-06	1.14315e-06	1.48274e-05	0.000473731	6.71656e-05	1.4092e-05	2.45483e-06	-1.39303e-05	2.02758e-06	0.000237681	0.000217772	2.94721e-05	-6.61365e-06	-1.26121e-05	-1.15969e-05
